"Person","Country","Industry","age","Net Worth, $B","Rank","Time",
"Yuri Shefler","Russia","alcohol","47","1.8","1105","2015",
"Theo Albrecht, Jr.","Germany","Aldi, Trader Joe's","64","19","49","2015",
"Theo Albrecht, Jr. & family","Germany","Aldi, Trader Joe's","63","19.3","36","2014",
"Zhang Zhongneng & family","China","aluminum","50","1.2","1372","2014",
"Zhang Shiping","China","aluminum products","68","4.1","405","2015",
"Liu Zhongtian","China","aluminum products","51","2.7","690","2015",
"Liu Zhongtian & family","China","aluminum products","50","2.1","828","2014",
"Song Zuowen","China","aluminum, diversified","67","2.3","810","2015",
"Oleg Deripaska","Russia","aluminum, utilities","47","6.2","230","2015",
"Oleg Deripaska","Russia","aluminum, utilities","46","6.5","208","2014",
"Jeff Bezos","United States","Amazon.com","50","32","18","2014",
"Jeff Bezos","United States","Amazon.com","51","34.8","15","2015",
"Suh Kyung-Bae","South Korea","Amorepacific","51","2.8","609","2014",
"Richard DeVos","United States","Amway","88","6.9","196","2014",
"Richard DeVos","United States","Amway","89","5.7","259","2015",
"Daniel Roullier","France","animal feed","78","1.9","1006","2015",
"Daniel Roullier & family","France","animal feed","77","1.9","931","2014",
"Jeanine Dick","France","animal pharmaceuticals","77","1","1565","2014",
"Jeanine Dick","France","animal pharmaceuticals","78","1.1","1638","2015",
"Cai Dongqing","China","animation","45","1.8","1105","2015",
"Cai Dongqing","China","animation","44","2","869","2014",
"Anton Kathrein, Jr.","Germany","antennas","29","1.35","1270","2014",
"Anton Kathrein, Jr.","Germany","antennas","30","1.7","1118","2015",
"Steve Case","United States","AOL","55","1.2","1372","2014",
"Steve Case","United States","AOL","56","1.4","1386","2015",
"Silas Chou","Hong Kong","apparel","68","2.5","737","2015",
"Silas Chou","Hong Kong","apparel","67","2.4","731","2014",
"Zhou Jianping","China","apparel","54","4.8","330","2015",
"Gao Dekang","China","apparel","63","1.3","1500","2015",
"Gao Dekang & family","China","apparel","62","1.6","1092","2014",
"Jacky Xu","St. Kitts and Nevis","apparel","","1.2","1533","2015",
"Jacky Xu","St. Kitts and Nevis","apparel","0","1.2","1372","2014",
"Zhou Chengjian","China","apparel retail","49","1.7","1173","2015",
"Qiu Guanghe","China","apparel retail","63","3.6","481","2015",
"Zhu Chongyun","China","apparel retailer","","1.3","1415","2015",
"Thomas Meyer","Switzerland","apparel retailer","","2.5","737","2015",
"Ma Hong","China","apparel retailer","47","1.2","1533","2015",
"Daniel Hirschfeld","United States","apparel retailer","73","1.3","1500","2015",
"Laurene Powell Jobs","United States","Apple, Disney","51","19.5","45","2015",
"Laurene Powell Jobs & family","United States","Apple, Disney","50","14","73","2014",
"Liu Xiaomeng","China","appliance retailer","59","1","1565","2014",
"Zhang Jindong","China","appliance retailer","51","4.2","393","2015",
"Siegfried Meister","Germany","appliances","76","2.5","687","2014",
"Siegfried Meister","Germany","appliances","76","2.9","628","2015",
"Liang Zhaoxian","China","appliances","50","1.1","1638","2015",
"He Xiangjian","China","appliances","71","7.1","190","2014",
"Ezra Nahmad","Monaco","art","69","1.5","1250","2015",
"David Nahmad","Monaco","art","67","1.9","1044","2015",
"David Nahmad","Monaco","art","66","1.75","1036","2014",
"Ezra Nahmad","Monaco","art collection","68","1.5","1154","2014",
"Philip Niarchos","Greece","art collection","60","2.5","687","2014",
"Philip Niarchos","Greece","art collection","61","2.5","737","2015",
"Esther Grether","Switzerland","art collection, Swatch","79","2.1","894","2015",
"Esther Grether & family","Switzerland","art collection, Swatch","78","2.4","731","2014",
"Norman Braman","United States","art, car dealerships","82","1.9","1006","2015",
"Norman Braman","United States","art, car dealerships","81","1.9","931","2014",
"Pierre Chen","Taiwan","art, electronics","57","2","949","2015",
"Park Hyeon-Joo","South Korea","asset management","56","1.3","1415","2015",
"Eduardo Carmignac","France","asset management","67","1.6","1190","2015",
"Abdulla Al Futtaim","United Arab Emirates","auto dealers, investments","","3.2","557","2015",
"Abdulla Al Futtaim","United Arab Emirates","auto dealers, investments","0","2.5","687","2014",
"Dai Deming","China","auto distribution","","1.1","1712","2015",
"Huang Yi","Hong Kong","auto distribution","52","1.25","1356","2014",
"Wang Muqing & family","China","auto distribution","63","1","1565","2014",
"Sergei Petrov","Russia","auto import and dealerships","59","1","1565","2014",
"Don Hankey","United States","auto loans","70","1.6","1092","2014",
"Don Hankey","United States","auto loans","71","2.3","810","2015",
"Frank Stronach","Canada","auto parts","81","1.3","1284","2014",
"Frank Stronach","Canada","auto parts","82","1.4","1324","2015",
"Frank Hasenfratz","Canada","auto parts","80","1","1741","2015",
"Fritz Draexlmaier","Germany","auto parts","","1.5","1250","2015",
"Fritz Draexlmaier","Germany","auto parts","0","1.9","931","2014",
"Chin Jong Hwa","Taiwan","auto parts","56","1","1741","2015",
"Cho Tak Wong","Hong Kong","auto parts","68","1.5","1250","2015",
"Cho Tak Wong & family","Hong Kong","auto parts","67","1.2","1372","2014",
"Jurgen Blickle","Germany","auto parts","68","1.9","1006","2015",
"Li Fuchao","China","auto parts","57","1","1741","2015",
"Shahid Khan","United States","auto parts","63","4.1","367","2014",
"Shahid Khan","United States","auto parts","64","4.5","360","2015",
"Rainer Blickle","Germany","auto parts","","1.7","1118","2015",
"Wang Jianfeng","China","auto parts","45","1","1741","2015",
"Wang Jianfeng & family","China","auto parts","44","1","1565","2014",
"Vivek Chaand Sehgal","Australia","auto parts","57","1","1565","2014",
"Vivek Chaand Sehgal","Australia","auto parts","58","2.8","663","2015",
"Wu Chung-Yi","Taiwan","auto parts","56","1.1","1712","2015",
"James France","United States","auto racing","69","2.3","764","2014",
"Peter Unger","Germany","auto repair","69","1.4","1210","2014",
"Peter Unger","Germany","auto repair","70","1.8","1054","2015",
"Wei Jianjun","China","automobiles","51","8.9","147","2015",
"Wei Jianjun & family","China","automobiles","50","6.9","196","2014",
"Vikram Lal","India","automobiles","72","1.05","1540","2014",
"Li Shufu","China","automobiles","50","1.85","973","2014",
"Li Shufu","China","automobiles","51","2.4","782","2015",
"Lu Xiangyang","China","automobiles","51","3.2","506","2014",
"Abhay Firodia","India","automobiles","70","1.2","1605","2015",
"Anand Mahindra","India","automobiles","59","1.2","1533","2015",
"Lu Xiangyang","China","automobiles, batteries","52","2.5","737","2015",
"Alberto Bombassei","Italy","automotive brakes","74","1.5","1250","2015",
"Alberto Bombassei","Italy","automotive brakes","73","1.2","1372","2014",
"Jean Burelle","France","automotive systems","75","1.1","1465","2014",
"Jean Burelle","France","automotive systems","76","1.2","1605","2015",
"Laurent Burelle","France","automotive systems","64","1.1","1465","2014",
"Laurent Burelle","France","automotive systems","65","1.2","1605","2015",
"Michael Stoschek","Germany","autoparts","67","2.6","714","2015",
"Michael Stoschek & family","Germany","autoparts","66","3.7","408","2014",
"Vladimir Scherbakov","Russia","autos","64","1.4","1210","2014",
"Serge Dassault","France","aviation","89","15.3","62","2015",
"Serge Dassault & family","France","aviation","88","14","73","2014",
"Louis Le Duff","France","bakeries","68","2.2","847","2015",
"Louis Le Duff","France","bakeries","67","2.4","731","2014",
"Maria-Elisabeth Schaeffler","Germany","ball bearings","73","6.7","201","2015",
"Maria-Elisabeth Schaeffler","Germany","ball bearings","72","3.6","430","2014",
"Georg Schaeffler","Germany","ball bearings","50","26.9","21","2015",
"Georg Schaeffler","Germany","ball bearings","49","14.3","71","2014",
"Mehmet Rustu Basaran","Turkey","bank, gas","68","1.2","1533","2015",
"Filiz Sahenk","Turkey","bank, media","48","2.2","847","2015",
"Filiz Sahenk","Turkey","bank, media","47","1.8","988","2014",
"Deniz Sahenk","Turkey","bank, media","69","1.3","1500","2015",
"Deniz Sahenk","Turkey","bank, media","68","1.05","1540","2014",
"Dinara Kulibaeva","Kazakhstan","banking","46","1.8","988","2014",
"Dinara Kulibaeva","Kazakhstan","banking","47","2.1","894","2015",
"George Ty","Philippines","banking","82","4.4","369","2015",
"George Ty & family","Philippines","banking","81","2.3","764","2014",
"Gerald Ford","United States","banking","70","2.1","894","2015",
"Gerald J. Ford","United States","banking","69","2.1","828","2014",
"Abdullah Al Rajhi","Saudi Arabia","banking","","1.8","1054","2015",
"Abdullah Al Rajhi","Saudi Arabia","banking","0","2.4","731","2014",
"Alfredo Egydio Arruda Villela Filho","Brazil","banking","45","1.7","1118","2015",
"Alfredo Egydio Arruda Villela Filho","Brazil","banking","44","1.15","1442","2014",
"Alfredo Harp Helu","Mexico","banking","70","1.4","1324","2015",
"Alfredo Harp Helu & family","Mexico","banking","70","1.5","1154","2014",
"Ana Lucia de Mattos Barretto Villela","Brazil","banking","41","1.7","1118","2015",
"Ana Lucia de Mattos Barretto Villela","Brazil","banking","40","1.1","1465","2014",
"Aloysio de Andrade Faria","Brazil","banking","94","3","603","2015",
"Aloysio de Andrade Faria","Brazil","banking","93","3.3","483","2014",
"Alvaro Saieh Bendeck","Chile","banking","65","2.5","737","2015",
"Alvaro Saieh Bendeck","Chile","banking","64","1.9","931","2014",
"Andre Esteves","Brazil","banking","46","2.9","628","2015",
"Andre Esteves","Brazil","banking","45","3.1","520","2014",
"Cho Yaw Wee","Singapore","banking","86","5.5","271","2015",
"Carlos Hank Rhon","Mexico","banking","67","2.4","782","2015",
"Carlos Hank Rhon & family","Mexico","banking","66","2","869","2014",
"Bruno Schroder","United Kingdom","banking","82","5.9","248","2015",
"Bruno Schroder & family","United Kingdom","banking","81","5.5","256","2014",
"Benjamin de Rothschild","Switzerland","banking","50","2","869","2014",
"Benjamin de Rothschild","Switzerland","banking","51","1.5","1250","2015",
"Moise Safra","Brazil","banking","79","2.2","796","2014",
"Oleg Tinkov","Russia","banking","46","1.4","1210","2014",
"Nikolai Tsvetkov","Russia","banking","53","1.8","988","2014",
"Nikolai Tsvetkov","Russia","banking","54","1.3","1500","2015",
"Luis Carlos Sarmiento","Colombia","banking","81","14.2","72","2014",
"Luis Carlos Sarmiento","Colombia","banking","82","13.4","85","2015",
"Luis Enrique Yarur Rey","Chile","banking","64","1.2","1533","2015",
"Luis Enrique Yarur Rey","Chile","banking","63","1.4","1210","2014",
"Maria de Lourdes Egydio Villela","Brazil","banking","","1","1741","2015",
"Lily Safra","Monaco","banking","76","1.3","1284","2014",
"Lily Safra","Monaco","banking","77","1.3","1415","2015",
"Julio Bozano","Brazil","banking","79","1.6","1190","2015",
"Julio Bozano","Brazil","banking","78","1.6","1092","2014",
"Joseph Safra","Brazil","banking","75","16","55","2014",
"Joseph Safra","Brazil","banking","76","17.3","52","2015",
"Juan Carlos Escotet","Venezuela","banking","55","3.3","534","2015",
"Juan Carlos Escotet","Venezuela","banking","54","1.5","1154","2014",
"Jaime Botin","Spain","banking","78","1.7","1118","2015",
"Jaime Botin","Spain","banking","77","1.8","988","2014",
"Jaime Gilinski Bacal","Colombia","banking","56","2.9","580","2014",
"Jaime Gilinski Bacal","Colombia","banking","57","3.1","577","2015",
"Sergei Popov","Russia","banking","43","4.6","352","2015",
"Sergei Popov","Russia","banking","42","5.4","263","2014",
"Sulaiman Al Rajhi","Saudi Arabia","banking","87","2.1","894","2015",
"Sulaiman Al Rajhi & family","Saudi Arabia","banking","94","1.9","931","2014",
"Roberto Hernandez Ramirez","Mexico","banking","72","1.8","1054","2015",
"Roberto Hernandez Ramirez","Mexico","banking","71","1.8","988","2014",
"Roustam Tariko","Russia","banking","52","1.1","1638","2015",
"Roustam Tariko","Russia","banking","52","2","869","2014",
"Walther Moreira Salles Junior","Brazil","banking","57","2.9","580","2014",
"Wee Cho Yaw","Singapore","banking","85","5.2","270","2014",
"Uday Kotak","India","banking","55","7.2","185","2015",
"Uday Kotak","India","banking","55","3.8","396","2014",
"Teh Hong Piow","Malaysia","banking","84","5.6","253","2014",
"Teh Hong Piow","Malaysia","banking","84","5.4","277","2015",
"Timur Kulibaev","Kazakhstan","banking","48","2.1","894","2015",
"Timur Kulibaev","Kazakhstan","banking","47","1.8","988","2014",
"Lina Maria Aguiar","Brazil","banking inheritance","77","1.5","1250","2015",
"Lina Maria Aguiar","Brazil","banking inheritance","76","1.4","1210","2014",
"Lia Maria Aguiar","Brazil","banking inheritance","76","1.2","1372","2014",
"Lia Maria Aguiar","Brazil","banking inheritance","77","1.2","1533","2015",
"Serhiy Tihipko","Ukraine","banking, agriculture","54","1","1565","2014",
"Roman Avdeev","Russia","banking, development","46","1.4","1210","2014",
"Roman Avdeev","Russia","banking, development","47","1.1","1638","2015",
"Petr Kellner","Czech Republic","banking, insurance","49","11","106","2014",
"Petr Kellner","Czech Republic","banking, insurance","50","8.4","160","2015",
"Othman Benjelloun","Morocco","banking, insurance","81","2.8","609","2014",
"Othman Benjelloun","Morocco","banking, insurance","82","2.3","810","2015",
"Ion Tiriac","Romania","banking, insurance","75","1","1741","2015",
"Yuri Kovalchuk","Russia","banking, insurance, media","62","1.4","1210","2014",
"Ihor Kolomoyskyy","Ukraine","banking, investments","51","2.1","828","2014",
"Ihor Kolomoyskyy","Ukraine","banking, investments","52","1.3","1415","2015",
"Henadiy Boholyubov","Ukraine","banking, investments","53","1.3","1500","2015",
"Henadiy Boholyubov","Ukraine","banking, investments","52","2.3","764","2014",
"Dmitry Ananyev","Russia","banking, IT, real estate","45","2","869","2014",
"Dmitry Ananyev","Russia","banking, IT, real estate","46","1.3","1500","2015",
"Alexei Ananyev","Russia","banking, IT, real estate","49","2","869","2014",
"Alexei Ananyev","Russia","banking, IT, real estate","50","1.3","1500","2015",
"Ferit Faik Sahenk","Turkey","banking, media","50","2.1","828","2014",
"Ferit Faik Sahenk","Turkey","banking, media","50","2.5","737","2015",
"Fernando Roberto Moreira Salles","Brazil","banking, minerals","68","2.1","894","2015",
"Fernando Roberto Moreira Salles","Brazil","banking, minerals","67","2.9","580","2014",
"Joao Moreira Salles","Brazil","banking, minerals","52","2.9","580","2014",
"Joao Moreira Salles","Brazil","banking, minerals","53","2.1","894","2015",
"Walther Moreira Salles Junior","Brazil","banking, minerals","58","2.1","894","2015",
"Pedro Moreira Salles","Brazil","banking, minerals","54","2.9","580","2014",
"Pedro Moreira Salles","Brazil","banking, minerals","55","2.1","894","2015",
"Zadik Bino","Israel","banking, oil","70","1.05","1540","2014",
"Quek Leng Chan","Malaysia","banking, real estate","70","6.4","212","2014",
"Quek Leng Chan","Malaysia","banking, real estate","73","5.6","265","2015",
"Alexander Svetakov","Russia","banking, real estate","46","3.1","520","2014",
"Alexander Svetakov","Russia","banking, real estate","47","3.1","577","2015",
"Bernard Saul, II.","United States","banking, real estate","81","2.3","764","2014",
"Bernard Saul, II.","United States","banking, real estate","82","2.6","714","2015",
"Spiro Latsis","Greece","banking, shipping","68","2.4","782","2015",
"Spiro Latsis & family","Greece","banking, shipping","67","3.2","506","2014",
"Pyotr Aven","Russia","banking, telecom","59","5.1","301","2015",
"Alexei Kuzmichev","Russia","banking, telecom, retail","52","7.3","184","2015",
"German Khan","Russia","banking, telecom, retail","53","9.5","133","2015",
"R. Budi Hartono","Indonesia","banking, tobacco","73","7.6","173","2014",
"R. Budi Hartono","Indonesia","banking, tobacco","74","9","142","2015",
"Andrew Beal","United States","banks, real estate","61","10.9","109","2014",
"Andrew Beal","United States","banks, real estate","62","11.7","105","2015",
"Wang Chuanfu","China","batteries, autos","49","3.9","435","2015",
"Wang Chuanfu","China","batteries, autos","48","4.3","345","2014",
"Liang Guangwei","China","batteries, mini motors","51","1.3","1415","2015",
"Reinold Geiger","Austria","beauty products","67","1.6","1226","2015",
"Reinold Geiger","Austria","beauty products","66","1.3","1284","2014",
"Richard Yuengling, Jr.","United States","beer","71","1.8","1105","2015",
"Richard Yuengling, Jr.","United States","beer","71","1.4","1210","2014",
"Tatiana Casiraghi","United States","beer","31","2.2","847","2015",
"Walter Faria","Brazil","beer","59","3.4","512","2015",
"Walter Faria","Brazil","beer","58","3.8","396","2014",
"Maria Asuncion Aramburuzabala & family","Mexico","beer","50","5.2","270","2014",
"Marcel Herrmann Telles","Brazil","beer","64","10.2","119","2014",
"Marcel Herrmann Telles","Brazil","beer","65","13","89","2015",
"Jim Koch","United States","beer","65","1.3","1415","2015",
"Julio Mario Santo Domingo, III.","United States","beer","29","2.2","847","2015",
"Jorge Paulo Lemann","Brazil","beer","75","25","26","2015",
"Jorge Paulo Lemann","Brazil","beer","74","19.7","34","2014",
"Ken Grossman","United States","beer","","1","1741","2015",
"Andres Santo Domingo","United States","beer","36","4.4","369","2015",
"Alejandro Santo Domingo","United States","beer","38","4.4","369","2015",
"Alejandro Santo Domingo Davila & family","Colombia","beer","37","11.1","102","2014",
"Carlos Alberto Sicupira","Brazil","beer","67","11.3","110","2015",
"Carlos Alberto Sicupira","Brazil","beer","66","8.9","146","2014",
"C. James Koch","United States","beer","64","1","1565","2014",
"Maria Asuncion Aramburuzabala","Mexico","beer, investments","51","5.6","265","2015",
"Charles Munger","United States","Berkshire Hathaway","90","1.1","1465","2014",
"Charles Munger","United States","Berkshire Hathaway","91","1.3","1415","2015",
"Warren Buffett","United States","Berkshire Hathaway","83","58.2","4","2014",
"Warren Buffett","United States","Berkshire Hathaway","84","72.7","3","2015",
"Stewart Horejsi","United States","Berkshire Hathaway","76","1.1","1465","2014",
"Stewart Horejsi","United States","Berkshire Hathaway","77","1.4","1324","2015",
"Richard Schulze","United States","Best Buy","73","2.1","828","2014",
"Richard Schulze","United States","Best Buy","74","2.9","628","2015",
"Len Ainsworth","Australia","betting machines","91","1.2","1533","2015",
"Len Ainsworth","Australia","betting machines","90","1.4","1210","2014",
"Lorenzo Mendoza","Venezuela","beverages","49","2.7","690","2015",
"Lorenzo Mendoza & family","Venezuela","beverages","48","3.5","446","2014",
"Max Michel Suberville","Mexico","beverages","82","1.5","1312","2015",
"Max Michel Suberville","Mexico","beverages","81","1.4","1210","2014",
"Nobutada Saji","Japan","beverages","69","1","1741","2015",
"Nobutada Saji","Japan","beverages","68","1.1","1465","2014",
"Jose and Francisco Jose Calderon Rojas","Mexico","beverages","60","2.1","894","2015",
"Jose and Francisco Jose Calderon Rojas","Mexico","beverages","59","2","869","2014",
"Charoen Sirivadhanabhakdi","Thailand","beverages","69","9","141","2014",
"Charoen Sirivadhanabhakdi","Thailand","beverages","70","13.2","87","2015",
"Chanchai Ruayrungruang","China","beverages","60","2","869","2014",
"Eva Gonda de Rivera","Mexico","beverages","","6.7","201","2015",
"Eva Gonda de Rivera & family","Mexico","beverages","0","6.4","212","2014",
"Zong Qinghou","China","beverages","68","11.6","94","2014",
"Zong Qinghou","China","beverages","69","10.3","124","2015",
"Arturo Moreno","United States","billboards","67","1.3","1284","2014",
"Arturo Moreno","United States","billboards","68","1.5","1250","2015",
"Dean White","United States","billboards, hotels","91","2.5","737","2015",
"Dean White","United States","billboards, hotels","90","2","869","2014",
"Dona Bertarelli","Switzerland","biotech","47","4.6","352","2015",
"Ernesto Bertarelli","Switzerland","biotech, investments","49","8.8","149","2015",
"Ernesto Bertarelli & family","Switzerland","biotech, investments","48","12","92","2014",
"Alan Auerbach","United States","biotechnology","45","1.2","1533","2015",
"Kiran Mazumdar-Shaw","India","biotechnology","61","1","1741","2015",
"Seo Jung-Jin","South Korea","biotechnology","57","1.2","1533","2015",
"Peter Peterson","United States","Blackstone Group","87","1.7","1046","2014",
"Hamilton James","United States","Blackstone Group","62","1.6","1092","2014",
"Ralph Sonnenberg","Netherlands","blinds","80","1.5","1250","2015",
"Ralph Sonnenberg & family","Netherlands","blinds","79","1.7","1046","2014",
"Elizabeth Holmes","United States","blood testing","31","4.5","360","2015",
"Thomas Secunda","United States","Bloomberg","59","1.7","1046","2014",
"Thomas Secunda","United States","Bloomberg LP","60","1.8","1054","2015",
"Charles Zegar","United States","Bloomberg LP","66","1.3","1284","2014",
"Charles Zegar","United States","Bloomberg LP","67","1.4","1324","2015",
"Michael Bloomberg","United States","Bloomberg LP","73","35.5","14","2015",
"Michael Bloomberg","United States","Bloomberg LP","72","33","16","2014",
"Johanna Quandt","Germany","BMW","87","12.8","82","2014",
"Johanna Quandt","Germany","BMW","88","13.9","77","2015",
"Stefan Quandt","Germany","BMW","47","14.9","66","2014",
"Stefan Quandt","Germany","BMW","48","15.6","59","2015",
"Susanne Klatten","Germany","BMW, pharmaceuticals","51","17.4","49","2014",
"Susanne Klatten","Germany","BMW, pharmaceuticals","52","16.8","54","2015",
"Martha Ingram","United States","book distribution, transportation","79","4.1","405","2015",
"Martha Ingram & family","United States","book distribution, transportation","78","3.9","388","2014",
"Lee Joong-Keun","South Korea","Booyoung","73","1.7","1046","2014",
"Heinz Hermann Thiele","Germany","brakes","73","6.4","220","2015",
"Heinz Hermann Thiele & family","Germany","brakes","72","7.2","186","2014",
"Edir Macedo","Brazil","broadcasting","70","1.1","1638","2015",
"Edir Macedo & family","Brazil","broadcasting","69","1.1","1465","2014",
"Allan Slaight","Canada","broadcasting","81","1.25","1356","2014",
"Wang Zhenghua","China","budget airline","70","1.2","1533","2015",
"Maggie Magerko","United States","building materials","49","1.2","1533","2015",
"Marc Benioff","United States","business software","50","3.4","512","2015",
"Marc Benioff","United States","business software","49","3.3","483","2014",
"Mike Cannon-Brookes","Australia","business software","35","1.1","1638","2015",
"Aneel Bhusri","United States","business software","49","1.3","1415","2015",
"Aneel Bhusri","United States","business software","48","1.3","1284","2014",
"David Duffield","United States","business software","74","7.4","179","2015",
"David Duffield","United States","business software","73","7.7","168","2014",
"Thomas Siebel","United States","business software","61","2","869","2014",
"Thomas Siebel","United States","business software","62","2.3","810","2015",
"Ted Turner","United States","cable television","76","2.2","847","2015",
"Ted Turner","United States","cable television","75","2.2","796","2014",
"Amos Hostetter, Jr.","United States","cable television","77","3","551","2014",
"Amos Hostetter, Jr.","United States","cable television","78","3.1","577","2015",
"Alan Gerry","United States","cable television","85","1.4","1324","2015",
"Alan Gerry","United States","cable television","84","1.4","1210","2014",
"Charles Dolan","United States","cable television","88","4.3","381","2015",
"Charles Dolan & family","United States","cable television","87","3.7","408","2014",
"John Malone","United States","cable television","73","7.5","177","2014",
"John Malone","United States","cable television","73","8.3","162","2015",
"Loretta Robinson","Canada","cable tv","75","5.8","254","2015",
"Gary Magness","United States","cable, investments","60","1.8","988","2014",
"Gary Magness","United States","cable, investments","61","1.5","1250","2015",
"Sandro Veronesi","Italy","Calzedonia","54","2.1","828","2014",
"Dorrance Hamilton","United States","Campbell Soup","86","1.1","1638","2015",
"Charlotte Colket Weber","United States","Campbell Soup","72","1.4","1324","2015",
"Charlotte Colket Weber","United States","Campbell Soup","71","1.3","1284","2014",
"Bennett Dorrance","United States","Campbell Soup","68","2","869","2014",
"Bennett Dorrance","United States","Campbell Soup","69","2.3","810","2015",
"Mary Alice Dorrance Malone","United States","Campbell Soup","65","3.2","557","2015",
"Mary Alice Dorrance Malone","United States","Campbell Soup","64","2.8","609","2014",
"John Dorrance, III.","Ireland","Campbell Soup","71","2.6","714","2015",
"John Dorrance, III.","Ireland","Campbell Soup","70","2.5","687","2014",
"John Mars","United States","candy","78","26.6","22","2015",
"John Mars","United States","candy","77","20","31","2014",
"Jacqueline Mars","United States","candy","75","26.6","22","2015",
"Jacqueline Mars","United States","candy","74","20","31","2014",
"Axel Oberwelland","Germany","candy","47","3.7","408","2014",
"Axel Oberwelland","Germany","candy","48","3.3","534","2015",
"Augusto & Giorgio Perfetti","Italy","candy","","6","246","2015",
"Augusto & Giorgio Perfetti","Italy","candy","0","7.2","186","2014",
"Forrest Mars, Jr.","United States","candy","83","26.6","22","2015",
"Forrest Mars, Jr.","United States","candy","82","20","31","2014",
"Yuri Gushchin","Russia","candy, real estate","69","1.6","1092","2014",
"Yuri Gushchin","Russia","candy, real estate","70","1.1","1638","2015",
"Travis Kalanick","United States","car service","38","5.3","283","2015",
"Ryan Graves","United States","car service","31","1.4","1324","2015",
"Garrett Camp","Canada","car service","36","5.3","283","2015",
"Gwendolyn Sontheim Meyer","United States","Cargill","53","3.7","462","2015",
"Austen Cargill, II.","United States","Cargill","64","3.3","534","2015",
"Alexandra Daitch","United States","Cargill","52","1.6","1190","2015",
"Cargill MacMillan, III.","United States","Cargill","55","1","1741","2015",
"James Cargill, II.","United States","Cargill","65","3.3","534","2015",
"John MacMillan","United States","Cargill","65","1","1741","2015",
"Katherine Tanner","United States","Cargill","59","1.6","1190","2015",
"Martha MacMillan Bennett","United States","Cargill","63","1","1741","2015",
"Marianne Liebmann","United States","Cargill","61","3.3","534","2015",
"Lucy Stitzer","United States","Cargill","55","1.6","1190","2015",
"Pauline MacMillan Keinath","United States","Cargill","81","5.8","254","2015",
"Sarah Chaney","United States","Cargill","61","1.6","1190","2015",
"Whitney MacMillan","United States","Cargill","86","4.7","341","2015",
"William MacMillan","United States","Cargill","60","1","1741","2015",
"Whitney MacMillan","United States","Cargill Inc.","85","4.8","305","2014",
